"","nazwy","wyswietlacz","pamiê_RAM","pamiê_wbudowana","aparat_foto","cena","liczba_opinii","ocena","status_opinii"
"1","Moto G8 Power","6.4""","4 gb","64 gb","16 Mpix",999,7,"5","mniej 50 opinii"
"2","Moto G7 Power","6.2""","4 gb","64 gb","12 Mpix",698,492,"5","wiecej 100 opinii"
"3","Moto E6 Plus","6.1""","4 gb","64 gb","13 Mpix",599,19,"5","mniej 50 opinii"
"4","One Action","6.34""","4 gb","128 gb","12 Mpix",799,24,"5","mniej 50 opinii"
"5","E5 Play","5.3""","1 gb","16 gb","8 Mpix",299,22,"5","mniej 50 opinii"
"6","One Vision","6.3""","4 gb","128 gb","48 Mpix",969,168,"5","wiecej 100 opinii"
"7","One Zoom","6.4""","4 gb","128 gb","48 Mpix",1599,25,"5","mniej 50 opinii"
"8","Moto Z","5.5""","4 gb","32 gb","16 Mpix",549,66,"5","50-100 opinii"
"9","Moto X4","5.2""","3 gb","32 gb","12 Mpix",649,7,"5","mniej 50 opinii"
"10","Moto Z3 Play","6""","4 gb","64 gb","12 Mpix",950,5,"5","mniej 50 opinii"
"11","Moto C+","5""","1 gb","16 gb","8 Mpix",299,50,"5","50-100 opinii"
"12","Moto Z Play","5.5""","3 gb","32 gb","16 Mpix",1275,70,"5","50-100 opinii"
"13","Moto Z2 Play","5.5""","4 gb","64 gb","12 Mpix",1020,9,"5","mniej 50 opinii"
"14","Moto G6 Play","5.7""","3 gb","32 gb","13 Mpix",499,581,"5","wiecej 100 opinii"
"15","Moto E6 Plus","6.1""","4 gb","64 gb","13 Mpix",599,26,"4.5","mniej 50 opinii"
