"","nazwa","wyswietlacz","pamiêæ_RAM","pamiêæ_wbudowana","aparat_foto","cena","ocena"
"1","iPhone 11 Pro 512GB","5.8""","4 GB","512 GB","12Mpix",6949,"5"
"2","iPhone 11 Pro 256GB","5.8""","4 GB","256 GB","12Mpix",5999,"5"
"3","iPhone 11 Pro 64GB","5.8""","4 GB","64 GB","12Mpix",5099,"5"
"4","iPhone 11 256GB","6.1""","4 GB","256 GB","12Mpix",4349,"4.5"
"5","iPhone 11 64GB","6.1""","4 GB","64 GB","12Mpix",3649,"4.5"
"6","iPhone X 64GB","5.8""","3 GB","64 GB","12Mpix",3899,"5"
"7","iPhone 8 256GB","4.7""","2 GB","256 GB","12Mpix",2999,"4"
"8","iPhone 8 64GB","4.7""","2 GB","64 GB","12Mpix",2349,"5"
"9","iPhone 7 128GB","4.7""","2 GB","128 GB","12Mpix",2369,"4"
"10","iPhone 7 32GB","4.7""","2 GB","32 GB","12Mpix",1549,"4"
